[2024-10-25 14:50:00] [class-ss-archive-creation-job.php:83] Starting a job; no job is presently running
[2024-10-25 14:50:00] [class-ss-archive-creation-job.php:84] Here's our task list: setup, fetch_urls, generate_404, transfer_files_locally, wrapup
[2024-10-25 14:50:00] [class-ss-archive-creation-job.php:102] Pushing first task to queue: setup
[2024-10-25 14:50:00] [class-ss-archive-creation-job.php:136] Current task: setup
[2024-10-25 14:50:00] [class-ss-archive-creation-job.php:153] Performing task: setup
[2024-10-25 14:50:00] [class-ss-task.php:44] Status message: [setup] Setting up
[2024-10-25 14:50:01] [class-ss-setup-task.php:33] Creating archive directory: C:\xampp\New folder\htdocs\clinic/wp-content/uploads\simply-static\temp-files/simply-static-1-1729867800\
[2024-10-25 14:50:01] [class-ss-setup-task.php:72] Adding origin URL to queue: http://localhost/clinic/
[2024-10-25 14:50:01] [class-ss-setup-task.php:124] Adding files from directory: C:\xampp\New folder\htdocs\clinic\wp-content\uploads
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\uploads\2024\10\banner-5.jpg to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/uploads/2024/10/banner-5.jpg
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\uploads\elementor\css\global.css to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/uploads/elementor/css/global.css
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\uploads\elementor\css\post-6.css to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/uploads/elementor/css/post-6.css
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\uploads\elementor\css\post-7.css to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/uploads/elementor/css/post-7.css
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\uploads\simply-static\3c26af6cfae1741c6c56c3f792cec71f-debug.txt to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/uploads/simply-static/3c26af6cfae1741c6c56c3f792cec71f-debug.txt
[2024-10-25 14:50:01] [class-ss-setup-task.php:124] Adding files from directory: C:\xampp\New folder\htdocs\clinic\wp-content
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\index.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/index.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\.htaccess to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/.htaccess
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\akismet.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/akismet.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\changelog.txt to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/changelog.txt
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\class.akismet-admin.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/class.akismet-admin.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\class.akismet-cli.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/class.akismet-cli.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\class.akismet-rest-api.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/class.akismet-rest-api.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\class.akismet-widget.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/class.akismet-widget.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\class.akismet.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/class.akismet.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\index.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/index.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\LICENSE.txt to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/LICENSE.txt
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\readme.txt to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/readme.txt
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\views\activate.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/views/activate.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\views\config.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/views/config.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\views\connect-jp.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/views/connect-jp.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\views\enter.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/views/enter.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\views\get.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/views/get.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\views\logo.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/views/logo.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\views\notice.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/views/notice.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\views\predefined.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/views/predefined.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\views\setup.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/views/setup.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\views\start.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/views/start.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\views\stats.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/views/stats.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\views\title.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/views/title.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\wrapper.php to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/wrapper.php
[2024-10-25 14:50:01] [class-ss-setup-task.php:129] Adding file C:\xampp\New folder\htdocs\clinic\wp-content\plugins\akismet\_inc\akismet-admin.css to queue as: C:/xampp/New folder/htdocs/clinic/wp-content/plugins/akismet/_inc/akismet-admin.css
